X-position, Y-position, theta, phi, mua, mus, mua, mus, mua, mus, mua, mus, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT, muaLUT, musLUT
773.66, 330.13, 1.6590, 0.0600, 0.0175, 0.5779, 0.0168, 0.5601, 0.0150, 0.5515, 0.0129, 0.5398, 0.0158, 0.6407, 0.0134, 0.6837, 0.0168, 0.4977, 0.0131, 0.5298
774.14, 377.94, 1.6550, 0.0870, 0.0225, 0.5195, 0.0214, 0.5202, 0.0192, 0.4773, 0.0167, 0.4977, 0.0148, 0.2250, 0.0197, 0.5773, 0.0163, 0.5780, 0.0171, 0.4844
776.37, 430.56, 1.5990, 0.1070, 0.0229, 0.5318, 0.0228, 0.5040, 0.0188, 0.5151, 0.0172, 0.5010, 0.0219, 0.5622, 0.0215, 0.5414, 0.0165, 0.5567, 0.0169, 0.4933
778.92, 474.44, 1.5200, 0.1190, 0.0184, 0.5608, 0.0177, 0.5406, 0.0157, 0.5277, 0.0136, 0.5259, 0.0170, 0.6071, 0.0174, 0.4356, 0.0168, 0.4863, 0.0139, 0.5140
725.48, 453.59, 2.0890, 0.2650, 0.0166, 0.5882, 0.0163, 0.5591, 0.0139, 0.5374, 0.0126, 0.5374, 0.0175, 0.5640, 0.0157, 0.5126, 0.0128, 0.5870, 0.0118, 0.4860
719.63, 417.03, 1.8380, 0.0960, 0.0196, 0.5498, 0.0192, 0.5225, 0.0170, 0.4907, 0.0149, 0.5053, 0.0174, 0.3361, 0.0187, 0.5310, 0.0110, 0.4108, 0.0129, 0.5890
728.62, 369.52, 1.8900, 0.0860, 0.0193, 0.5440, 0.0186, 0.5265, 0.0168, 0.4820, 0.0145, 0.5049, 0.0194, 0.3796, 0.0149, 0.5658, 0.0148, 0.5632, 0.0115, 0.6381
731.13, 334.09, 1.9190, 0.0610, 0.0168, 0.5669, 0.0163, 0.5448, 0.0141, 0.5130, 0.0127, 0.5135, 0.0138, 0.3458, 0.0156, 0.5730, 0.0132, 0.5462, 0.0125, 0.5079
733.93, 288.70, 1.8970, 0.0360, 0.0163, 0.6289, 0.0163, 0.5838, 0.0140, 0.5602, 0.0124, 0.5791, 0.0169, 0.6163, 0.0140, 0.4296, 0.0119, 0.6510, 0.0134, 0.5425
739.96, 232.84, 0.0750, 0.0050, 0.0156, 0.6189, 0.0153, 0.5861, 0.0131, 0.5640, 0.0117, 0.5662, 0.0105, 0.3546, 0.0145, 0.6143, 0.0122, 0.6099, 0.0118, 0.5626
708.19, 234.77, 2.6790, 0.0100, 0.0156, 0.6163, 0.0153, 0.5855, 0.0128, 0.5776, 0.0118, 0.5600, 0.0122, 0.4720, 0.0141, 0.6311, 0.0141, 0.5318, 0.0112, 0.3906
675.69, 288.87, 2.3900, 0.0470, 0.0153, 0.6281, 0.0149, 0.6045, 0.0129, 0.5767, 0.0116, 0.5711, 0.0118, 0.3780, 0.0144, 0.6206, 0.0085, 0.4368, 0.0100, 0.2859
680.70, 351.66, 2.0150, 0.0660, 0.0157, 0.6141, 0.0156, 0.5813, 0.0128, 0.5820, 0.0118, 0.5640, 0.0169, 0.4650, 0.0144, 0.6299, 0.0096, 0.5641, 0.0062, 0.4378
677.15, 378.36, 2.1810, 0.2860, 0.0157, 0.6128, 0.0151, 0.5933, 0.0127, 0.5810, 0.0118, 0.5612, 0.0153, 0.6319, 0.0134, 0.6613, 0.0118, 0.5900, 0.0114, 0.5766
649.87, 444.43, 1.8350, 0.0780, 0.0157, 0.6000, 0.0154, 0.5693, 0.0129, 0.5631, 0.0118, 0.5503, 0.0125, 0.4969, 0.0146, 0.5985, 0.0084, 0.3115, 0.0115, 0.5606
678.91, 428.77, 1.7880, 0.0970, 0.0163, 0.5960, 0.0160, 0.5725, 0.0137, 0.5462, 0.0126, 0.5314, 0.0113, 0.3703, 0.0134, 0.6648, 0.0112, 0.6525, 0.0116, 0.5746
677.43, 480.49, 1.7770, 0.1210, 0.0157, 0.6170, 0.0152, 0.5939, 0.0130, 0.5753, 0.0119, 0.5591, 0.0141, 0.6687, 0.0117, 0.5123, 0.0144, 0.5212, 0.0072, 0.1813
718.53, 483.94, 1.5910, 0.1280, 0.0160, 0.6071, 0.0158, 0.5864, 0.0135, 0.5557, 0.0124, 0.5432, 0.0142, 0.6729, 0.0152, 0.6048, 0.0130, 0.5801, 0.0116, 0.5756
818.14, 453.29, 1.2460, 0.1170, 0.0174, 0.5806, 0.0172, 0.5517, 0.0153, 0.5192, 0.0133, 0.5329, 0.0196, 0.5206, 0.0198, 0.4681, 0.0145, 0.5530, 0.0133, 0.5371
805.51, 409.96, 1.2790, 0.0960, 0.0214, 0.5462, 0.0209, 0.5275, 0.0186, 0.4912, 0.0164, 0.5043, 0.0214, 0.3429, 0.0153, 0.7072, 0.0203, 0.4291, nan, nan
802.77, 378.90, 1.2970, 0.0470, 0.0202, 0.5514, 0.0198, 0.5309, 0.0168, 0.5177, 0.0153, 0.5130, 0.0164, 0.3784, 0.0176, 0.6018, 0.0164, 0.5465, 0.0141, 0.5591
760.48, 395.96, 1.5720, 0.0680, 0.0240, 0.5252, 0.0229, 0.5266, 0.0195, 0.5097, 0.0181, 0.4949, 0.0251, 0.5051, 0.0245, 0.4838, 0.0105, 0.2631, 0.0168, 0.4014
749.84, 411.79, 1.6230, 0.0910, 0.0230, 0.5370, 0.0229, 0.5130, 0.0196, 0.4985, 0.0176, 0.5038, 0.0276, 0.3857, 0.0198, 0.2961, 0.0115, 0.3239, 0.0142, 0.6244
749.77, 434.86, 1.5260, 0.0870, 0.0219, 0.5384, 0.0213, 0.5209, 0.0179, 0.5226, 0.0166, 0.5040, 0.0250, 0.4505, 0.0149, 0.4809, 0.0189, 0.4948, 0.0161, 0.4621
756.66, 460.95, 1.5720, 0.0840, 0.0190, 0.5631, 0.0186, 0.5417, 0.0159, 0.5264, 0.0147, 0.5139, 0.0153, 0.4009, 0.0142, 0.6883, 0.0157, 0.5432, 0.0165, 0.4404
782.21, 444.61, 1.5630, 0.0830, 0.0211, 0.5421, 0.0205, 0.5273, 0.0176, 0.5090, 0.0160, 0.5024, 0.0188, 0.4296, 0.0210, 0.5113, 0.0178, 0.4373, 0.0147, 0.5455
815.55, 433.11, 1.4730, 0.0860, 0.0193, 0.5633, 0.0189, 0.5318, 0.0163, 0.5063, 0.0146, 0.5097, 0.0189, 0.5819, 0.0123, 0.5522, 0.0145, 0.5812, 0.0129, 0.5803
